run_id,Tick,rho,Moran_I_Act_Instant,Moran_I_Psi_Instant_RefOnly
flight6_probe1_overcrowding_20x20,0,0.1175,-0.006569827014646497,0.2723510697159719
flight6_probe1_overcrowding_20x20,10,0.0725,-0.022399851287294378,0.13987379807692307
flight6_probe1_overcrowding_20x20,20,0.1025,-0.019090970853998215,0.06798245614035085
flight6_probe1_overcrowding_20x20,30,0.105,-0.017557861133280173,0.07073138120069529
flight6_probe1_overcrowding_20x20,40,0.0925,-0.005137368773732395,0.15666666666666668
flight6_probe1_overcrowding_20x20,50,0.08,0.014945652173913042,0.1271219135802469
flight6_probe1_overcrowding_20x20,60,0.07,0.0015360983102918552,0.08778148457047541
flight6_probe1_overcrowding_20x20,70,0.1075,0.0358934271382972,0.11385199240986717
flight6_probe1_overcrowding_20x20,80,0.0675,-0.03266805679674311,0.07676074914270638
flight6_probe1_overcrowding_20x20,90,0.0925,0.0023080932171841454,0.11416232975307278
flight6_probe1_overcrowding_20x20,100,0.105,0.04229848363926571,0.1564967695620962
flight6_probe1_overcrowding_20x20,110,0.0625,-0.04533333333333334,0.07427575691570461
flight6_probe1_overcrowding_20x20,120,0.11,-0.021450459652706845,0.10758348412567857
flight6_probe1_overcrowding_20x20,130,0.0775,-0.04030072558790104,0.07142857142857142
flight6_probe1_overcrowding_20x20,140,0.08,0.014945652173913032,0.16102443332352073
flight6_probe1_overcrowding_20x20,150,0.0925,-0.02747375474648201,0.15841584158415845
flight6_probe1_overcrowding_20x20,160,0.0925,-0.005137368773732392,0.04707991319935843
flight6_probe1_overcrowding_20x20,170,0.08,-0.01902173913043479,0.12206237154856578
flight6_probe1_overcrowding_20x20,180,0.0775,-0.04904274849200105,0.15254237288135594
flight6_probe1_overcrowding_20x20,190,0.1,-0.02083333333333332,0.09807692307692306
flight6_probe1_overcrowding_20x20,200,0.08,0.014945652173913037,0.14400000000000002
flight6_probe1_overcrowding_20x20,210,0.0775,-0.03155870268380104,0.07613225896082244
flight6_probe1_overcrowding_20x20,220,0.06,0.0026595744680851263,0.10066139699951603
flight6_probe1_overcrowding_20x20,230,0.105,0.009044958765629107,0.16631929970821174
flight6_probe1_overcrowding_20x20,240,0.0775,-0.022816679779701022,0.09922022048937885
flight6_probe1_overcrowding_20x20,250,0.0975,0.012713971162724652,0.10568323877295889
flight6_probe1_overcrowding_20x20,260,0.075,-2.2004420307885983e-17,0.07132243684992567
flight6_probe1_overcrowding_20x20,270,0.0875,-0.033268101761252424,0.16208643172755688
flight6_probe1_overcrowding_20x20,280,0.06,0.024822695035461036,0.13459348667729445
flight6_probe1_overcrowding_20x20,290,0.0975,0.03402230272036368,0.08603766025641026
flight6_probe1_overcrowding_20x20,300,0.1,-0.041666666666666644,0.15191740412979352
flight6_probe1_overcrowding_20x20,310,0.085,0.0035358405657344933,0.12809334530067953
flight6_probe1_overcrowding_20x20,320,0.105,-0.024208566108007493,0.09389333573163058
flight6_probe1_overcrowding_20x20,330,0.085,0.0035358405657344963,0.13802691580469356
flight6_probe1_overcrowding_20x20,340,0.0625,-0.024,0.10341951626355299
flight6_probe1_overcrowding_20x20,350,0.085,-0.004500160720025702,0.06979964915520266
flight6_probe1_overcrowding_20x20,360,0.08,-0.027513586956521747,0.13411078717201166
flight6_probe1_overcrowding_20x20,370,0.0925,-0.020028292755565474,0.05178931451612901
flight6_probe1_overcrowding_20x20,380,0.095,0.033149171270718196,0.05894886363636366
flight6_probe1_overcrowding_20x20,390,0.11,-0.04060265577119509,0.07583758981906326
flight6_probe1_overcrowding_20x20,400,0.0825,-0.03211956072991495,0.04781199351701784
flight6_probe1_overcrowding_20x20,410,0.08,-0.027513586956521747,0.09521158129175945
flight6_probe1_overcrowding_20x20,420,0.1,-0.020833333333333325,0.08612919379068602
flight6_probe1_overcrowding_20x20,430,0.0975,-0.001491583209034707,0.06454405540592538
flight6_probe1_overcrowding_20x20,440,0.0775,0.09957164087769908,0.23524955014679422
flight6_probe1_overcrowding_20x20,450,0.06,0.013741134751773083,0.14772727272727273
flight6_probe1_overcrowding_20x20,460,0.0725,-0.022399851287294385,0.12560386473429952
flight6_probe1_overcrowding_20x20,470,0.0625,-0.013333333333333334,0.1357636706473916
flight6_probe1_overcrowding_20x20,480,0.095,0.004070950857807473,0.14935011176421892
flight6_probe1_overcrowding_20x20,490,0.095,-0.0468159348647863,0.05261723009814614
flight6_probe1_overcrowding_20x20,500,0.0825,-0.015605647758236306,0.1253304307261701
flight6_probe1_overcrowding_20x20,510,0.075,-0.01801801801801804,0.08644036356891113
flight6_probe1_overcrowding_20x20,520,0.0875,0.013698630136986327,0.05392620624408702
flight6_probe1_overcrowding_20x20,530,0.0725,0.014778325123152698,0.1724137931034483
flight6_probe1_overcrowding_20x20,540,0.07,-0.008064516129032263,0.11717495987158909
