run_id,block_idx,M_block,g_E_value,cond_logit_term,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_kp0_7599_ap0_0000_s137,6,0.3705,-0.3777,-0.0,0.3709,0.0075,0.0436
R_E_kp0_7599_ap0_0000_s137,7,0.3709,-0.2122,-0.0,0.3741,0.0037,0.0715
R_E_kp0_7599_ap0_0000_s137,8,0.3741,1.0616,0.0,0.3691,0.005,0.0628
R_E_kp0_7599_ap0_0000_s137,9,0.3691,-0.9382,-0.0,0.3698,0.0086,0.087
R_E_kp0_7599_ap0_0000_s137,10,0.3698,-0.6643,-0.0,0.3717,0.0034,0.0813
R_E_kp0_7599_ap0_0000_s137,11,0.3717,0.1063,0.0,0.3713,0.0052,0.0802
R_E_kp0_7599_ap0_0000_s137,12,0.3713,-0.0338,-0.0,0.3725,0.0055,0.0711
R_E_kp0_7599_ap0_0000_s137,13,0.3725,0.4183,0.0,0.37,0.0066,0.0699
R_E_kp0_7599_ap0_0000_s137,14,0.37,-0.5752,-0.0,0.3736,0.0073,0.0635
R_E_kp0_7599_ap0_0000_s137,15,0.3736,0.8578,0.0,0.3713,0.0067,0.0961
R_E_kp0_7599_ap0_0000_s256,0,0.3714,0.0,0.0,0.3675,0.0083,0.0739
R_E_kp0_7599_ap0_0000_s256,1,0.3675,-1.575,-0.0,0.3735,0.0025,0.0562
R_E_kp0_7599_ap0_0000_s256,2,0.3735,0.8196,0.0,0.3748,0.004,0.0707
R_E_kp0_7599_ap0_0000_s256,3,0.3748,1.3418,0.0,0.3746,0.0075,0.0772
R_E_kp0_7599_ap0_0000_s256,4,0.3746,1.2781,0.0,0.3711,0.0072,0.0794
R_E_kp0_7599_ap0_0000_s256,5,0.3711,-0.1357,-0.0,0.3672,0.0025,0.0402
R_E_kp0_7599_ap0_0000_s256,6,0.3672,-1.6769,-0.0,0.3717,0.0006,0.0483
R_E_kp0_7599_ap0_0000_s256,7,0.3717,0.1126,0.0,0.3741,0.0061,0.0664
R_E_kp0_7599_ap0_0000_s256,8,0.3741,1.0807,0.0,0.3722,0.0082,0.0498
R_E_kp0_7599_ap0_0000_s256,9,0.3722,0.291,0.0,0.3741,0.0029,0.097
R_E_kp0_7599_ap0_0000_s256,10,0.3741,1.0679,0.0,0.37,0.0057,0.0578
R_E_kp0_7599_ap0_0000_s256,11,0.37,-0.5497,-0.0,0.3709,0.0044,0.0499
R_E_kp0_7599_ap0_0000_s256,12,0.3709,-0.1994,-0.0,0.3719,0.0037,0.0776
R_E_kp0_7599_ap0_0000_s256,13,0.3719,0.1827,0.0,0.3672,0.0095,0.0708
R_E_kp0_7599_ap0_0000_s256,14,0.3672,-1.6833,-0.0,0.3714,0.0017,0.072
R_E_kp0_7599_ap0_0000_s256,15,0.3714,-0.0084,-0.0,0.3729,0.005,0.0492
R_E_kp0_7599_ap0_0000_s1024,0,0.3714,0.0,0.0,0.3676,0.004,0.0646
R_E_kp0_7599_ap0_0000_s1024,1,0.3676,-1.5368,-0.0,0.3722,0.0038,0.0627
R_E_kp0_7599_ap0_0000_s1024,2,0.3722,0.291,0.0,0.3687,0.0049,0.0661
R_E_kp0_7599_ap0_0000_s1024,3,0.3687,-1.1037,-0.0,0.3704,0.0067,0.0705
R_E_kp0_7599_ap0_0000_s1024,4,0.3704,-0.4159,-0.0,0.3707,0.0065,0.0565
R_E_kp0_7599_ap0_0000_s1024,5,0.3707,-0.3077,-0.0,0.3736,0.0033,0.0587
R_E_kp0_7599_ap0_0000_s1024,6,0.3736,0.8832,0.0,0.3767,0.0036,0.0661
R_E_kp0_7599_ap0_0000_s1024,7,0.3767,2.0933,0.0,0.3698,0.007,0.0756
R_E_kp0_7599_ap0_0000_s1024,8,0.3698,-0.6388,-0.0,0.3684,0.0059,0.0869
R_E_kp0_7599_ap0_0000_s1024,9,0.3684,-1.1993,-0.0,0.3732,0.0033,0.0594
R_E_kp0_7599_ap0_0000_s1024,10,0.3732,0.6858,0.0,0.3705,0.0055,0.0658
R_E_kp0_7599_ap0_0000_s1024,11,0.3705,-0.3523,-0.0,0.3712,0.0062,0.0766
R_E_kp0_7599_ap0_0000_s1024,12,0.3712,-0.0911,-0.0,0.3715,0.0037,0.0499
R_E_kp0_7599_ap0_0000_s1024,13,0.3715,0.0107,0.0,0.3737,0.0042,0.0447
R_E_kp0_7599_ap0_0000_s1024,14,0.3737,0.9087,0.0,0.376,0.0061,0.0627
R_E_kp0_7599_ap0_0000_s1024,15,0.376,1.8194,0.0,0.3714,0.0061,0.062
R_E_kp0_7599_ap0_0000_s31415,0,0.3714,0.0,0.0,0.3612,0.0028,0.0683
R_E_kp0_7599_ap0_0000_s31415,1,0.3612,-4.0651,-0.0,0.37,0.0068,0.0664
R_E_kp0_7599_ap0_0000_s31415,2,0.37,-0.5561,-0.0,0.3725,0.0047,0.0554
R_E_kp0_7599_ap0_0000_s31415,3,0.3725,0.4374,0.0,0.3716,0.0053,0.0707
R_E_kp0_7599_ap0_0000_s31415,4,0.3716,0.0872,0.0,0.3704,0.0039,0.0415
R_E_kp0_7599_ap0_0000_s31415,5,0.3704,-0.4287,-0.0,0.3723,0.0074,0.0738
R_E_kp0_7599_ap0_0000_s31415,6,0.3723,0.3483,0.0,0.3701,0.004,0.0464
R_E_kp0_7599_ap0_0000_s31415,7,0.3701,-0.5369,-0.0,0.3714,0.0022,0.0539
R_E_kp0_7599_ap0_0000_s31415,8,0.3714,-0.0084,-0.0,0.3705,0.007,0.059
R_E_kp0_7599_ap0_0000_s31415,9,0.3705,-0.3586,-0.0,0.3688,0.0046,0.05
R_E_kp0_7599_ap0_0000_s31415,10,0.3688,-1.0528,-0.0,0.3724,0.0064,0.0729
R_E_kp0_7599_ap0_0000_s31415,11,0.3724,0.3865,0.0,0.3695,0.0087,0.039
R_E_kp0_7599_ap0_0000_s31415,12,0.3695,-0.7535,-0.0,0.3724,0.0032,0.0753
R_E_kp0_7599_ap0_0000_s31415,13,0.3724,0.3992,0.0,0.3736,0.0016,0.0588
R_E_kp0_7599_ap0_0000_s31415,14,0.3736,0.8578,0.0,0.3702,0.0048,0.0604
R_E_kp0_7599_ap0_0000_s31415,15,0.3702,-0.4796,-0.0,0.3785,0.0058,0.0662
R_E_kp0_7599_ap0_0518_s42,0,0.3714,0.0,0.0,0.3653,0.0072,0.0649
R_E_kp0_7599_ap0_0518_s42,1,0.3653,-2.4539,-0.1272,0.348,0.0039,0.0497
R_E_kp0_7599_ap0_0518_s42,2,0.348,-9.3064,-0.4823,0.2745,0.0115,0.0784
R_E_kp0_7599_ap0_0518_s42,3,0.2745,-38.589,-1.9999,0.0766,0.0082,0.0152
R_E_kp0_7599_ap0_0518_s42,4,0.0766,-117.368,-6.0826,0.0027,0.0014,0.0035
R_E_kp0_7599_ap0_0518_s42,5,0.0027,-146.7588,-7.6058,0.0003,-0.0003,-0.0038
R_E_kp0_7599_ap0_0518_s42,6,0.0003,-147.7269,-7.656,0.0003,-0.0003,-0.003
R_E_kp0_7599_ap0_0518_s42,7,0.0003,-147.7332,-7.6563,0.0001,-0.0001,-0.003
R_E_kp0_7599_ap0_0518_s42,8,0.0001,-147.7842,-7.6589,0.0001,-0.0001,-0.0016
R_E_kp0_7599_ap0_0518_s42,9,0.0001,-147.7906,-7.6593,0.0004,-0.0004,0.0263
R_E_kp0_7599_ap0_0518_s42,10,0.0004,-147.6759,-7.6533,0.0001,-0.0001,-0.0021
R_E_kp0_7599_ap0_0518_s42,11,0.0001,-147.7906,-7.6593,0.0003,-0.0003,-0.003
R_E_kp0_7599_ap0_0518_s42,12,0.0003,-147.7269,-7.656,0.0003,-0.0003,-0.0047
R_E_kp0_7599_ap0_0518_s42,13,0.0003,-147.7141,-7.6553,0.0001,-0.0001,-0.0018
R_E_kp0_7599_ap0_0518_s42,14,0.0001,-147.7906,-7.6593,0.0002,-0.0002,0.0813
R_E_kp0_7599_ap0_0518_s42,15,0.0002,-147.7778,-7.6586,0.0001,-0.0001,-0.0019
R_E_kp0_7599_ap0_0518_s137,0,0.3714,0.0,0.0,0.3689,0.0074,0.0627
R_E_kp0_7599_ap0_0518_s137,1,0.3689,-1.0146,-0.0526,0.3622,0.001,0.0422
R_E_kp0_7599_ap0_0518_s137,2,0.3622,-3.6639,-0.1899,0.3349,0.0096,0.0554
R_E_kp0_7599_ap0_0518_s137,3,0.3349,-14.5287,-0.7529,0.2277,0.0156,0.0597
R_E_kp0_7599_ap0_0518_s137,4,0.2277,-57.1979,-2.9643,0.0328,0.0018,0.0013
R_E_kp0_7599_ap0_0518_s137,5,0.0328,-134.7669,-6.9843,0.0012,-0.0005,-0.0031
R_E_kp0_7599_ap0_0518_s137,6,0.0012,-147.3575,-7.6368,0.0002,-0.0002,-0.0024
R_E_kp0_7599_ap0_0518_s137,7,0.0002,-147.7651,-7.6579,0.0002,-0.0002,-0.0025
R_E_kp0_7599_ap0_0518_s137,8,0.0002,-147.7778,-7.6586,0.0003,-0.0003,-0.0032
R_E_kp0_7599_ap0_0518_s137,9,0.0003,-147.7141,-7.6553,0.0004,-0.0004,-0.0028
R_E_kp0_7599_ap0_0518_s137,10,0.0004,-147.6887,-7.654,0.0003,-0.0003,-0.0037
R_E_kp0_7599_ap0_0518_s137,11,0.0003,-147.7332,-7.6563,0.0002,-0.0002,-0.0022
R_E_kp0_7599_ap0_0518_s137,12,0.0002,-147.7778,-7.6586,0.0002,-0.0002,-0.0041
R_E_kp0_7599_ap0_0518_s137,13,0.0002,-147.7651,-7.6579,0.0003,-0.0003,-0.003
R_E_kp0_7599_ap0_0518_s137,14,0.0003,-147.7269,-7.656,0.0003,-0.0003,-0.0044
R_E_kp0_7599_ap0_0518_s137,15,0.0003,-147.7205,-7.6556,0.0003,-0.0003,-0.0043
R_E_kp0_7599_ap0_0518_s256,0,0.3714,0.0,0.0,0.3675,0.0083,0.0739
R_E_kp0_7599_ap0_0518_s256,1,0.3675,-1.575,-0.0816,0.3572,0.0036,0.0584
R_E_kp0_7599_ap0_0518_s256,2,0.3572,-5.6636,-0.2935,0.3164,0.008,0.0784
R_E_kp0_7599_ap0_0518_s256,3,0.3164,-21.9162,-1.1358,0.1644,0.0095,0.0481
R_E_kp0_7599_ap0_0518_s256,4,0.1644,-82.4238,-4.2716,0.0122,-0.0015,-0.0133
R_E_kp0_7599_ap0_0518_s256,5,0.0122,-143.0014,-7.4111,0.0004,-0.0004,-0.0057
R_E_kp0_7599_ap0_0518_s256,6,0.0004,-147.6759,-7.6533,0.0001,-0.0001,-0.0009
R_E_kp0_7599_ap0_0518_s256,7,0.0001,-147.8097,-7.6602,0.0002,-0.0002,0.0049
R_E_kp0_7599_ap0_0518_s256,8,0.0002,-147.746,-7.6569,0.0002,-0.0002,-0.0029
R_E_kp0_7599_ap0_0518_s256,9,0.0002,-147.7651,-7.6579,0.0002,-0.0002,-0.0022
R_E_kp0_7599_ap0_0518_s256,10,0.0002,-147.7778,-7.6586,0.0002,-0.0002,-0.0039
R_E_kp0_7599_ap0_0518_s256,11,0.0002,-147.746,-7.6569,0.0004,-0.0004,0.0013
R_E_kp0_7599_ap0_0518_s256,12,0.0004,-147.7014,-7.6546,0.0002,-0.0002,-0.0033
R_E_kp0_7599_ap0_0518_s256,13,0.0002,-147.7523,-7.6573,0.0003,-0.0003,-0.0036
R_E_kp0_7599_ap0_0518_s256,14,0.0003,-147.7141,-7.6553,0.0003,-0.0003,-0.0026
R_E_kp0_7599_ap0_0518_s256,15,0.0003,-147.7269,-7.656,0.0001,-0.0001,-0.0024
R_E_kp0_7599_ap0_0518_s1024,0,0.3714,0.0,0.0,0.3676,0.004,0.0646
R_E_kp0_7599_ap0_0518_s1024,1,0.3676,-1.5368,-0.0796,0.3572,0.0045,0.0671
R_E_kp0_7599_ap0_0518_s1024,2,0.3572,-5.6573,-0.2932,0.311,0.0087,0.07
R_E_kp0_7599_ap0_0518_s1024,3,0.311,-24.0624,-1.247,0.1485,0.0093,0.0473
R_E_kp0_7599_ap0_0518_s1024,4,0.1485,-88.7223,-4.598,0.0087,0.0008,-0.0
R_E_kp0_7599_ap0_0518_s1024,5,0.0087,-144.3897,-7.483,0.0005,-0.0005,0.0327
R_E_kp0_7599_ap0_0518_s1024,6,0.0005,-147.6568,-7.6523,0.0004,-0.0004,0.0202
R_E_kp0_7599_ap0_0518_s1024,7,0.0004,-147.6759,-7.6533,0.0002,-0.0002,-0.0043
R_E_kp0_7599_ap0_0518_s1024,8,0.0002,-147.746,-7.6569,0.0003,-0.0003,-0.0028
R_E_kp0_7599_ap0_0518_s1024,9,0.0003,-147.7332,-7.6563,0.0003,-0.0003,0.0046
R_E_kp0_7599_ap0_0518_s1024,10,0.0003,-147.7396,-7.6566,0.0001,-0.0001,-0.002
R_E_kp0_7599_ap0_0518_s1024,11,0.0001,-147.8097,-7.6602,0.0001,-0.0001,-0.0012
R_E_kp0_7599_ap0_0518_s1024,12,0.0001,-147.8033,-7.6599,0.0005,-0.0005,-0.0049
R_E_kp0_7599_ap0_0518_s1024,13,0.0005,-147.6504,-7.652,0.0002,-0.0002,0.0326
R_E_kp0_7599_ap0_0518_s1024,14,0.0002,-147.7523,-7.6573,0.0002,-0.0002,-0.0029
R_E_kp0_7599_ap0_0518_s1024,15,0.0002,-147.7714,-7.6583,0.0003,-0.0003,-0.0043
R_E_kp0_7599_ap0_0518_s31415,0,0.3714,0.0,0.0,0.3612,0.0028,0.0683
R_E_kp0_7599_ap0_0518_s31415,1,0.3612,-4.0651,-0.2107,0.3312,0.0096,0.0707
R_E_kp0_7599_ap0_0518_s31415,2,0.3312,-16.0189,-0.8302,0.2142,0.0121,0.0515
R_E_kp0_7599_ap0_0518_s31415,3,0.2142,-62.5857,-3.2435,0.0255,0.0025,0.0293
R_E_kp0_7599_ap0_0518_s31415,4,0.0255,-137.7091,-7.1368,0.0008,0.0007,-0.0014
R_E_kp0_7599_ap0_0518_s31415,5,0.0008,-147.5422,-7.6464,0.0002,-0.0002,-0.0025
R_E_kp0_7599_ap0_0518_s31415,6,0.0002,-147.7523,-7.6573,0.0003,-0.0003,-0.0028
R_E_kp0_7599_ap0_0518_s31415,7,0.0003,-147.7332,-7.6563,0.0004,-0.0004,0.0062
R_E_kp0_7599_ap0_0518_s31415,8,0.0004,-147.7014,-7.6546,0.0001,-0.0001,-0.003
R_E_kp0_7599_ap0_0518_s31415,9,0.0001,-147.7842,-7.6589,0.0002,-0.0002,-0.0032
R_E_kp0_7599_ap0_0518_s31415,10,0.0002,-147.7587,-7.6576,0.0002,-0.0002,-0.0021
R_E_kp0_7599_ap0_0518_s31415,11,0.0002,-147.7523,-7.6573,0.0004,0.0146,0.0497
R_E_kp0_7599_ap0_0518_s31415,12,0.0004,-147.6696,-7.653,0.0003,-0.0003,-0.0026
R_E_kp0_7599_ap0_0518_s31415,13,0.0003,-147.7396,-7.6566,0.0003,-0.0003,0.0124
R_E_kp0_7599_ap0_0518_s31415,14,0.0003,-147.7269,-7.656,0.0003,-0.0003,-0.0028
R_E_kp0_7599_ap0_0518_s31415,15,0.0003,-147.7141,-7.6553,0.0003,-0.0003,-0.004
R_E_kp0_7599_ap0_1032_s42,0,0.3714,0.0,0.0,0.3653,0.0072,0.0649
R_E_kp0_7599_ap0_1032_s42,1,0.3653,-2.4539,-0.2532,0.3242,0.0058,0.0525
R_E_kp0_7599_ap0_1032_s42,2,0.3242,-18.7956,-1.9394,0.0821,0.0119,0.0398
R_E_kp0_7599_ap0_1032_s42,3,0.0821,-115.1772,-11.8845,0.002,0.0002,0.0128
R_E_kp0_7599_ap0_1032_s42,4,0.002,-147.0391,-15.1721,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,5,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,6,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,7,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,8,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,9,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,10,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,11,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,12,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,13,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,14,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s42,15,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,0,0.3714,0.0,0.0,0.3689,0.0074,0.0627
R_E_kp0_7599_ap0_1032_s137,1,0.3689,-1.0146,-0.1047,0.3518,0.0021,0.0438
R_E_kp0_7599_ap0_1032_s137,2,0.3518,-7.8035,-0.8052,0.2192,0.0139,0.0504
R_E_kp0_7599_ap0_1032_s137,3,0.2192,-60.586,-6.2515,0.0064,-0.0009,-0.0038
R_E_kp0_7599_ap0_1032_s137,4,0.0064,-145.3068,-14.9934,0.0,-0.0,-0.0008
R_E_kp0_7599_ap0_1032_s137,5,0.0,-147.8288,-15.2536,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,6,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,7,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,8,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,9,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,10,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,11,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,12,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,13,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,14,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s137,15,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,0,0.3714,0.0,0.0,0.3675,0.0083,0.0739
R_E_kp0_7599_ap0_1032_s256,1,0.3675,-1.575,-0.1625,0.3409,0.0047,0.0682
R_E_kp0_7599_ap0_1032_s256,2,0.3409,-12.1532,-1.254,0.1492,0.0128,0.0457
R_E_kp0_7599_ap0_1032_s256,3,0.1492,-88.4675,-9.1285,0.0035,-0.0008,-0.0079
R_E_kp0_7599_ap0_1032_s256,4,0.0035,-146.4468,-15.111,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,5,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,6,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,7,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,8,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,9,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,10,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,11,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,12,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,13,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,14,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s256,15,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,0,0.3714,0.0,0.0,0.3676,0.004,0.0646
R_E_kp0_7599_ap0_1032_s1024,1,0.3676,-1.5368,-0.1586,0.3419,0.006,0.0641
R_E_kp0_7599_ap0_1032_s1024,2,0.3419,-11.7392,-1.2113,0.1559,0.011,0.0539
R_E_kp0_7599_ap0_1032_s1024,3,0.1559,-85.7991,-8.8531,0.0035,0.0027,0.0255
R_E_kp0_7599_ap0_1032_s1024,4,0.0035,-146.4404,-15.1103,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,5,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,6,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,7,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,8,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,9,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,10,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,11,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,12,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,13,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,14,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s1024,15,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,0,0.3714,0.0,0.0,0.3612,0.0028,0.0683
R_E_kp0_7599_ap0_1032_s31415,1,0.3612,-4.0651,-0.4195,0.2902,0.0126,0.0675
R_E_kp0_7599_ap0_1032_s31415,2,0.2902,-32.3224,-3.3352,0.0274,0.0011,0.0024
R_E_kp0_7599_ap0_1032_s31415,3,0.0274,-136.9322,-14.1292,0.0005,-0.0005,-0.0049
R_E_kp0_7599_ap0_1032_s31415,4,0.0005,-147.6568,-15.2359,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,5,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,6,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,7,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,8,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,9,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,10,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,11,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,12,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,13,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,14,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_1032_s31415,15,0.0,-147.8415,-15.2549,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,0,0.3714,0.0,0.0,0.3653,0.0072,0.0649
R_E_kp0_7599_ap0_2048_s42,1,0.3653,-2.4539,-0.5025,0.274,0.0081,0.062
R_E_kp0_7599_ap0_2048_s42,2,0.274,-38.7737,-7.9406,0.008,-0.0011,0.0039
R_E_kp0_7599_ap0_2048_s42,3,0.008,-144.6381,-29.6211,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,4,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,5,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,6,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,7,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,8,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,9,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,10,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,11,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,12,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,13,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,14,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s42,15,0.0,-147.8415,-30.2771,0.0,0.0,0.0
R_E_kp0_7599_ap0_2048_s137,0,0.3714,0.0,0.0,0.3689,0.0074,0.0627
R_E_kp0_7599_ap0_2048_s137,1,0.3689,-1.0146,-0.2078,0.3309,0.0043,0.0483
