run_id,mode,stage,c_label,kappa,tier,u_const,seed,block_idx,u_t,schedule_phase,block_in_primary_set,primary_exclusion_reason,block_rho,raw_Psi_meanI_state,raw_Psi_persistence_I,analytic_realized_delta_p_driven,mean_p_become,mean_slope,q05_slope,tail_mass,p_min,p_max,prop_I_full_surface,prop_I_masked_diagnostic
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,2,0.0,2,False,PRE_PRIMARY_INCOMPLETE_CYCLE,0.398592,0.0008751755995035,0.0004760721888639,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,3,0.0,0,True,,0.4007519999999999,0.0011623684400476,0.0008491932118113,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,4,0.0,1,True,,0.399136,0.0013050829876581,-0.0223223485129581,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,5,0.0,2,True,,0.398576,0.0019306546074596,-0.0039196325538563,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,6,0.0,0,True,,0.399968,0.002181852054478,-0.0122255912945673,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,7,0.0,1,True,,0.400544,0.0001562972742789,-0.0016751253796726,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,8,0.0,2,True,,0.398352,-0.0003315581175834,0.0008798181022644,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,9,0.0,0,True,,0.399232,0.0040389092715409,0.0226197942154759,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,10,0.0,1,True,,0.400208,-0.0019779998062295,0.0122688194706266,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,11,0.0,2,True,,0.3983359999999999,-0.0002535266218778,0.0061057572595851,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,12,0.0,0,True,,0.401952,-2.4395258232271927e-05,0.0031033623565422,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,13,0.0,1,True,,0.398368,0.0004230606507558,-0.005528027062333,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,14,0.0,2,True,,0.4005919999999999,0.0015989907158576,0.0045276335840464,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s137,cm1,stageA,0.0,0.0,0.0,,137,15,0.0,0,False,BLOCK_15_PARTIAL_CYCLE,0.399312,0.0002165060210057,0.0220341683634828,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
c3_w2_tcop_cm1_states_L0.4_kp0_0000_up0_0000_s256,cm1,stageA,0.0,0.0,0.0,,256,0,0.0,0,False,PRE_PRIMARY_INCOMPLETE_CYCLE,0.388352,0.0022131222870597,0.0070648303706705,0.0,0.4000000000000001,0.24,0.24,0.0,0.4,0.4,0.0,0.0
