Lambda_anchor,kappa,target_c,s_Lambda,theta_turnover,effective_persistence,realized_delta_p,seed,window_start,Psi_meanI_state,Psi_meanI_state_z,Psi_persistence_I,Psi_persistence_I_z,relative_drift,rho_cv,rho_range_over_mean,mean_rho,Steady_State_Candidate,Lifted_Activation_Candidate,mean_active_state_variance,persistence_std,extinction_degenerate,saturation_degenerate,LowLow_Nondegenerate_Candidate,q_mean,q_var,mean_abs_perturbation,realized_churn_rate
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,31415,50,0.0038,3.9928,-0.0543,-5.375,0.0069,0.0231,0.1168,0.4179,True,True,0.2432,0.0484,False,False,False,0.4179,0.031,0.0563,0.601
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,31415,75,0.0039,4.3308,-0.0584,-6.3705,0.0007,0.0236,0.1082,0.4177,True,True,0.2431,0.0487,False,False,False,0.4177,0.0312,0.0565,0.6005
0.4,-0.7599,-0.35,0.4,0.0,0.4,-0.35,31415,100,0.0043,4.9111,-0.0535,-5.2366,0.0006,0.0251,0.1082,0.4177,True,True,0.2431,0.048,False,False,False,0.4177,0.0312,0.0565,0.6014
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,42,0,0.0042,4.4656,-0.052,-5.2964,0.0321,0.0839,1.0299,0.4136,False,True,0.2413,0.0487,False,False,False,0.4136,0.0307,0.0575,0.6064
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,42,25,0.0052,5.8423,-0.0465,-4.8039,0.0028,0.0244,0.1471,0.4159,True,True,0.2428,0.0479,False,False,False,0.4159,0.031,0.0567,0.6052
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,42,50,0.0061,6.7632,-0.0457,-4.7134,0.0078,0.026,0.1469,0.4165,True,True,0.2429,0.0486,False,False,False,0.4165,0.031,0.0565,0.6043
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,42,75,0.006,5.7919,-0.0525,-5.3014,0.0038,0.0241,0.1219,0.4168,True,True,0.243,0.0484,False,False,False,0.4168,0.031,0.0564,0.6041
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,42,100,0.0061,6.2239,-0.0502,-4.877,0.0006,0.026,0.1219,0.4167,True,True,0.2429,0.0478,False,False,False,0.4167,0.0309,0.0564,0.6064
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,137,0,0.0048,5.5968,-0.0534,-5.3657,0.027,0.0845,1.0335,0.4137,False,True,0.2413,0.047,False,False,False,0.4137,0.0307,0.0575,0.6077
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,137,25,0.005,5.69,-0.0542,-5.6232,0.0044,0.0258,0.1194,0.4154,True,True,0.2427,0.0474,False,False,False,0.4154,0.0308,0.0566,0.6075
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,137,50,0.0059,6.5795,-0.0597,-5.9301,0.0001,0.0265,0.1213,0.4154,True,True,0.2427,0.0479,False,False,False,0.4154,0.0308,0.0566,0.6073
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,137,75,0.006,6.3573,-0.0549,-5.5047,0.0045,0.0262,0.1212,0.4157,True,True,0.2428,0.0474,False,False,False,0.4157,0.0308,0.0566,0.6076
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,137,100,0.0057,6.0204,-0.0499,-4.7282,0.0011,0.0254,0.1213,0.4154,True,True,0.2427,0.0473,False,False,False,0.4154,0.0309,0.0566,0.608
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,256,0,0.0048,5.0925,-0.0382,-3.5372,0.0346,0.0858,1.0634,0.4149,False,True,0.2415,0.0456,False,False,False,0.4149,0.0308,0.0574,0.6084
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,256,25,0.0047,5.0073,-0.034,-3.4356,0.0055,0.0249,0.0998,0.4169,True,True,0.243,0.0454,False,False,False,0.4169,0.031,0.0565,0.6077
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,256,50,0.0056,5.6455,-0.0321,-3.2861,0.0184,0.0247,0.1039,0.4159,True,True,0.2428,0.0458,False,False,False,0.4159,0.0311,0.0567,0.6079
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,256,75,0.0047,4.9509,-0.0483,-4.4848,0.0158,0.0255,0.1349,0.415,True,True,0.2427,0.047,False,False,False,0.415,0.031,0.0568,0.6084
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,256,100,0.0045,4.0774,-0.0508,-4.536,0.003,0.0259,0.135,0.4149,True,True,0.2426,0.048,False,False,False,0.4149,0.031,0.0568,0.6076
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,1024,0,0.005,5.1711,-0.0439,-4.5275,0.0238,0.0848,1.0601,0.4139,False,True,0.2414,0.0475,False,False,False,0.4139,0.0308,0.0575,0.609
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,1024,25,0.0059,6.1803,-0.0431,-3.9968,0.0027,0.0213,0.101,0.416,True,True,0.2429,0.0478,False,False,False,0.416,0.0311,0.0567,0.6088
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,1024,50,0.0057,5.4389,-0.0459,-4.7083,0.0093,0.0218,0.0942,0.4161,True,True,0.2429,0.048,False,False,False,0.4161,0.031,0.0566,0.6087
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,1024,75,0.005,5.4883,-0.0483,-4.5159,0.0104,0.0234,0.1227,0.4174,True,True,0.2431,0.0473,False,False,False,0.4174,0.0309,0.0564,0.6078
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,1024,100,0.0047,4.9487,-0.0517,-4.8731,0.0096,0.0237,0.1228,0.4168,True,True,0.243,0.0479,False,False,False,0.4168,0.0309,0.0565,0.6074
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,31415,0,0.0029,3.1714,-0.0405,-4.203,0.0413,0.0862,1.0673,0.4123,False,True,0.241,0.047,False,False,False,0.4123,0.0305,0.0576,0.61
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,31415,25,0.0043,4.5861,-0.048,-4.6946,0.0036,0.0228,0.1281,0.4154,True,True,0.2428,0.0478,False,False,False,0.4154,0.0309,0.0566,0.6102
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,31415,50,0.0045,4.8126,-0.0551,-5.5399,0.0079,0.0234,0.1098,0.4152,True,True,0.2427,0.0479,False,False,False,0.4152,0.031,0.0567,0.609
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,31415,75,0.0046,5.0934,-0.0615,-6.6037,0.0015,0.0241,0.1089,0.4151,True,True,0.2427,0.0481,False,False,False,0.4151,0.0311,0.0568,0.6088
0.4,-0.7599,-0.35,0.4,0.02,0.392,-0.35,31415,100,0.005,5.5473,-0.0569,-5.5711,0.001,0.0254,0.1118,0.4151,True,True,0.2427,0.0473,False,False,False,0.4151,0.0311,0.0568,0.6093
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,42,0,0.0046,4.817,-0.0534,-5.3401,0.0322,0.0842,1.0378,0.4097,False,True,0.2407,0.0479,False,False,False,0.4097,0.0306,0.0581,0.619
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,42,25,0.0058,6.2613,-0.046,-4.8285,0.0056,0.0245,0.1378,0.4121,True,True,0.2422,0.0474,False,False,False,0.4121,0.0309,0.0572,0.6171
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,42,50,0.0068,7.6983,-0.0475,-4.849,0.0082,0.0262,0.1434,0.4128,True,True,0.2423,0.0478,False,False,False,0.4128,0.031,0.0571,0.616
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,42,75,0.007,6.8872,-0.0558,-5.653,0.0049,0.0241,0.1249,0.4131,True,True,0.2423,0.0477,False,False,False,0.4131,0.031,0.057,0.6154
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,42,100,0.007,7.0895,-0.0491,-4.7612,0.0013,0.0256,0.1249,0.4131,True,True,0.2423,0.047,False,False,False,0.4131,0.0309,0.057,0.6178
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,137,0,0.0057,6.6733,-0.0537,-5.3346,0.0276,0.0849,1.04,0.41,False,True,0.2407,0.0463,False,False,False,0.41,0.0307,0.0581,0.6195
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,137,25,0.0059,6.8746,-0.0513,-5.2742,0.0043,0.026,0.1156,0.4116,True,True,0.2421,0.0466,False,False,False,0.4116,0.0308,0.0572,0.6195
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,137,50,0.0068,7.5164,-0.0591,-6.0302,0.0031,0.0272,0.1167,0.4114,True,True,0.242,0.0472,False,False,False,0.4114,0.0308,0.0573,0.6196
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,137,75,0.0071,7.5155,-0.0534,-5.2992,0.0048,0.0269,0.1195,0.4118,True,True,0.2421,0.0467,False,False,False,0.4118,0.0309,0.0572,0.62
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,137,100,0.007,7.3034,-0.0474,-4.6139,0.0005,0.0261,0.1196,0.4113,True,True,0.242,0.0463,False,False,False,0.4113,0.031,0.0574,0.6209
0.4,-0.7599,-0.35,0.4,0.05,0.38,-0.35,256,0,0.0053,5.6032,-0.0425,-4.0778,0.0347,0.0861,1.0714,0.411,False,True,0.2408,0.0448,False,False,False,0.411,0.0308,0.058,0.6202
