run_id,block_idx,M_block,g_E_value,pre_bound_term,post_bound_term,Delta_j,bound_ratio,bound_active,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_bounded_kp0_7599_d0_0000_s256,13,0.3719,0.1827,0.0,0.0,0.0,0.0,False,0.3672,0.0095,0.0708
R_E_bounded_kp0_7599_d0_0000_s256,14,0.3672,-1.6833,0.0,0.0,0.0,0.0,False,0.3714,0.0017,0.072
R_E_bounded_kp0_7599_d0_0000_s256,15,0.3714,-0.0084,0.0,0.0,0.0,0.0,False,0.3729,0.005,0.0492
R_E_bounded_kp0_7599_d0_0000_s1024,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3676,0.004,0.0646
R_E_bounded_kp0_7599_d0_0000_s1024,1,0.3676,-1.5368,0.0,0.0,0.0,0.0,False,0.3722,0.0038,0.0627
R_E_bounded_kp0_7599_d0_0000_s1024,2,0.3722,0.291,0.0,0.0,0.0,0.0,False,0.3687,0.0049,0.0661
R_E_bounded_kp0_7599_d0_0000_s1024,3,0.3687,-1.1037,0.0,0.0,0.0,0.0,False,0.3704,0.0067,0.0705
R_E_bounded_kp0_7599_d0_0000_s1024,4,0.3704,-0.4159,0.0,0.0,0.0,0.0,False,0.3707,0.0065,0.0565
R_E_bounded_kp0_7599_d0_0000_s1024,5,0.3707,-0.3077,0.0,0.0,0.0,0.0,False,0.3736,0.0033,0.0587
R_E_bounded_kp0_7599_d0_0000_s1024,6,0.3736,0.8832,0.0,0.0,0.0,0.0,False,0.3767,0.0036,0.0661
R_E_bounded_kp0_7599_d0_0000_s1024,7,0.3767,2.0933,0.0,0.0,0.0,0.0,False,0.3698,0.007,0.0756
R_E_bounded_kp0_7599_d0_0000_s1024,8,0.3698,-0.6388,0.0,0.0,0.0,0.0,False,0.3684,0.0059,0.0869
R_E_bounded_kp0_7599_d0_0000_s1024,9,0.3684,-1.1993,0.0,0.0,0.0,0.0,False,0.3732,0.0033,0.0594
R_E_bounded_kp0_7599_d0_0000_s1024,10,0.3732,0.6858,0.0,0.0,0.0,0.0,False,0.3705,0.0055,0.0658
R_E_bounded_kp0_7599_d0_0000_s1024,11,0.3705,-0.3523,0.0,0.0,0.0,0.0,False,0.3712,0.0062,0.0766
R_E_bounded_kp0_7599_d0_0000_s1024,12,0.3712,-0.0911,0.0,0.0,0.0,0.0,False,0.3715,0.0037,0.0499
R_E_bounded_kp0_7599_d0_0000_s1024,13,0.3715,0.0107,0.0,0.0,0.0,0.0,False,0.3737,0.0042,0.0447
R_E_bounded_kp0_7599_d0_0000_s1024,14,0.3737,0.9087,0.0,0.0,0.0,0.0,False,0.376,0.0061,0.0627
R_E_bounded_kp0_7599_d0_0000_s1024,15,0.376,1.8194,0.0,0.0,0.0,0.0,False,0.3714,0.0061,0.062
R_E_bounded_kp0_7599_d0_0000_s31415,0,0.3714,0.0,0.0,0.0,0.0,0.0,False,0.3612,0.0028,0.0683
R_E_bounded_kp0_7599_d0_0000_s31415,1,0.3612,-4.0651,0.0,0.0,0.0,0.0,False,0.37,0.0068,0.0664
R_E_bounded_kp0_7599_d0_0000_s31415,2,0.37,-0.5561,0.0,0.0,0.0,0.0,False,0.3725,0.0047,0.0554
R_E_bounded_kp0_7599_d0_0000_s31415,3,0.3725,0.4374,0.0,0.0,0.0,0.0,False,0.3716,0.0053,0.0707
R_E_bounded_kp0_7599_d0_0000_s31415,4,0.3716,0.0872,0.0,0.0,0.0,0.0,False,0.3704,0.0039,0.0415
R_E_bounded_kp0_7599_d0_0000_s31415,5,0.3704,-0.4287,0.0,0.0,0.0,0.0,False,0.3723,0.0074,0.0738
R_E_bounded_kp0_7599_d0_0000_s31415,6,0.3723,0.3483,0.0,0.0,0.0,0.0,False,0.3701,0.004,0.0464
R_E_bounded_kp0_7599_d0_0000_s31415,7,0.3701,-0.5369,0.0,0.0,0.0,0.0,False,0.3714,0.0022,0.0539
R_E_bounded_kp0_7599_d0_0000_s31415,8,0.3714,-0.0084,0.0,0.0,0.0,0.0,False,0.3705,0.007,0.059
R_E_bounded_kp0_7599_d0_0000_s31415,9,0.3705,-0.3586,0.0,0.0,0.0,0.0,False,0.3688,0.0046,0.05
R_E_bounded_kp0_7599_d0_0000_s31415,10,0.3688,-1.0528,0.0,0.0,0.0,0.0,False,0.3724,0.0064,0.0729
R_E_bounded_kp0_7599_d0_0000_s31415,11,0.3724,0.3865,0.0,0.0,0.0,0.0,False,0.3695,0.0087,0.039
R_E_bounded_kp0_7599_d0_0000_s31415,12,0.3695,-0.7535,0.0,0.0,0.0,0.0,False,0.3724,0.0032,0.0753
R_E_bounded_kp0_7599_d0_0000_s31415,13,0.3724,0.3992,0.0,0.0,0.0,0.0,False,0.3736,0.0016,0.0588
R_E_bounded_kp0_7599_d0_0000_s31415,14,0.3736,0.8578,0.0,0.0,0.0,0.0,False,0.3702,0.0048,0.0604
R_E_bounded_kp0_7599_d0_0000_s31415,15,0.3702,-0.4796,0.0,0.0,0.0,0.0,False,0.3785,0.0058,0.0662
R_E_bounded_kp0_7599_dp0_0518_s42,0,0.3714,0.0,0.0,0.0,0.0518,0.0,False,0.3653,0.0072,0.0649
R_E_bounded_kp0_7599_dp0_0518_s42,1,0.3653,-2.4539,-0.1272,-0.0511,0.0518,0.9853,True,0.3628,0.0027,0.0527
R_E_bounded_kp0_7599_dp0_0518_s42,2,0.3628,-3.4155,-0.177,-0.0517,0.0518,0.9978,True,0.3599,0.0081,0.0739
R_E_bounded_kp0_7599_dp0_0518_s42,3,0.3599,-4.581,-0.2374,-0.0518,0.0518,0.9998,True,0.3622,0.0065,0.0513
R_E_bounded_kp0_7599_dp0_0518_s42,4,0.3622,-3.6894,-0.1912,-0.0518,0.0518,0.9988,True,0.3624,0.0064,0.0567
R_E_bounded_kp0_7599_dp0_0518_s42,5,0.3624,-3.5939,-0.1863,-0.0517,0.0518,0.9985,True,0.3653,0.006,0.063
R_E_bounded_kp0_7599_dp0_0518_s42,6,0.3653,-2.4475,-0.1268,-0.0511,0.0518,0.9851,True,0.3611,0.004,0.0503
