run_id,f_variant,scale,epoch,mean_Delta_v,mean_Delta_u,mean_Delta_r,pos_Psi_share,neg_Psi_share,zero_Psi_share
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,0,-6.975e-06,-6.975e-06,-6.975e-06,0.0477625,0.05716875,0.89506875
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,1,-2.0396875000000003e-05,-2.0396875000000003e-05,-2.0396875000000003e-05,0.041060937500000005,0.054642187499999995,0.904296875
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,2,-1.8807500000000002e-05,-1.8807500000000002e-05,-1.8807500000000002e-05,0.03786125,0.050665,0.91147375
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,3,-1.808e-05,-1.808e-05,-1.808e-05,0.03531875,0.04767875,0.9170024999999999
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,4,-1.5837500000000002e-05,-1.5837500000000002e-05,-1.5837500000000002e-05,0.03328125,0.044365,0.92235375
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,5,-1.43e-05,-1.43e-05,-1.43e-05,0.03174,0.04176375,0.92649625
flight6_probe1_overcrowding_40x40,F_2_symmetric,40x40,6,-1.34225e-05,-1.34225e-05,-1.34225e-05,0.03013625,0.03941375,0.93045
