epoch,mean_Lambda_mean,Lambda_total_mean_std,Lambda_total_mean_min,Lambda_total_mean_max,Drive_Raw_mean_mean,Drive_Raw_mean_std,Drive_Raw_mean_min,Drive_Raw_mean_max,mean_p_act_mean,p_act_mean_std,p_act_mean_min,p_act_mean_max,psi_global_mean,Psi_local_mean_std,Psi_local_mean_min,Psi_local_mean_max,mean_v_mean,b_i_v_mean_std,b_i_v_mean_min,b_i_v_mean_max,mean_u_mean,b_i_u_mean_std,b_i_u_mean_min,b_i_u_mean_max,mean_r_mean,b_i_r_mean_std,b_i_r_mean_min,b_i_r_mean_max,rho_mean,rho_std,Local_Density_mean_min,Local_Density_mean_max,run_id,f_variant,scale
0,0.31883443345851875,0.0014563665838131464,0.31650259118102864,0.3211836700593701,-2.532452891165925,0.0364431552362227,-2.596887757729476,-2.3319426822324623,0.08752973318001088,0.002712500802893867,0.0830315592297809,0.10296359721994001,-0.0154,0.12414491369347191,-0.09,1.18,0.7489388602827586,0.000833709575671053,0.7476154602827586,0.7503154602827585,0.7494243727816077,0.0008337095756710667,0.7481009727816077,0.7508009727816076,0.7488916085438769,0.0008337095756710717,0.747568208543877,0.7502682085438771,0.090425,0.0436701002004249,0.0575,0.4975,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
1,0.3085897000437189,0.004238176411894374,0.30194070443713794,0.3165614033259785,-2.5815583873251247,0.033584393930709354,-2.6785989158531383,-2.4831625635026082,0.08372069585322953,0.002393841883741158,0.07700347640417358,0.09051374013966897,-0.021087500000000002,0.030168779090801377,-0.11,0.105,0.7430472977827586,0.0024828243701931325,0.7391404602827586,0.7476354602827585,0.7435328102816077,0.0024828243701931463,0.7396259727816077,0.7481209727816076,0.7430000460438769,0.0024828243701931585,0.7390932085438771,0.7475882085438771,0.08348124999999999,0.014075174947830314,0.045,0.1175,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
2,0.2945613880841226,0.003952302794357991,0.2889648132871079,0.30197245865758277,-2.6463713226635095,0.032131896432359426,-2.729334924129252,-2.5505409691724465,0.07918592741945386,0.0021174686319809597,0.07398339704495836,0.08584657272959943,-0.01626,0.02895495084362454,-0.095,0.07,0.7345387602827587,0.0024672770866779638,0.7309704602827586,0.7391554602827586,0.7350242727816076,0.00246727708667798,0.7314559727816077,0.7396409727816077,0.734491508543877,0.0024672770866780123,0.7309232085438769,0.7391082085438769,0.07901000000000001,0.013235189476579545,0.0475,0.115,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
3,0.28264310878683085,0.003642720654454693,0.2764569712805991,0.28904524218781286,-2.7037100648526766,0.03240562623324868,-2.7844662024119016,-2.6115874290291345,0.07545171157636744,0.0020663305252929553,0.07035164365592134,0.08145101856186512,-0.016,0.028508340023610697,-0.115,0.075,0.7269468102827586,0.002305784902269061,0.7230254602827586,0.7310254602827585,0.7274323227816077,0.002305784902269131,0.7235109727816077,0.7315109727816076,0.726899558543877,0.0023057849022690927,0.722978208543877,0.7309782085438771,0.074085,0.01367843097536759,0.04,0.115,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
4,0.27062300036054343,0.003621274278685582,0.26415387507130017,0.2765308144913348,-2.7547604985578262,0.031062819194134148,-2.8344631230518798,-2.654275981150748,0.07217565697363353,0.0019121950882828476,0.06732751907782139,0.07846423686941886,-0.01611,0.026605141742420176,-0.105,0.075,0.7192164102827586,0.0023266216891598903,0.7150304602827586,0.7230404602827586,0.7197019227816077,0.00232662168915988,0.7155159727816077,0.7235259727816076,0.719169158543877,0.002326621689159919,0.714983208543877,0.722993208543877,0.072425,0.013037324059686278,0.04,0.1125,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
5,0.26034563886690765,0.002276486793871242,0.2561607063013182,0.2640776291721526,-2.8032943195323696,0.02539830409628532,-2.867834824347359,-2.7069537489067077,0.06915087950717168,0.0014811358048276684,0.06559597281912274,0.07490285419551385,-0.01073,0.02523669712469378,-0.095,0.115,0.7124982102827586,0.001566227481737344,0.7095954602827586,0.7149704602827586,0.7129837227816076,0.0015662274817374025,0.7100809727816076,0.7154559727816077,0.712450958543877,0.0015662274817372947,0.7095482085438769,0.714923208543877,0.06886,0.012132385980472194,0.04,0.11,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
6,0.251163343397718,0.003108634415347182,0.24560771487265676,0.2561664100890441,-2.845942876409128,0.029636610537361382,-2.9177691582453544,-2.758550242291041,0.06672174450205016,0.0016656289699146952,0.06263538950350823,0.07152776003691373,-0.01498,0.024414990959800372,-0.09,0.06,0.7060835402827585,0.0021818497772535324,0.7021454602827586,0.7096054602827586,0.7065690527816076,0.002181849777253556,0.7026309727816076,0.7100909727816077,0.7060362885438769,0.0021818497772534877,0.7020982085438771,0.709558208543877,0.065745,0.012706509582554254,0.0325,0.1075,flight6_probe3_fusion_residual_20x20,F_2_symmetric,20x20
