Tick,pos_count,neg_count,zero_count,pos_mean,neg_mean
0,102,58,240,2.343137254901961,-1.9827586206896552
100,75,58,267,1.8266666666666667,-1.8448275862068966
500,49,57,294,1.6326530612244898,-1.7894736842105263
1000,58,67,275,1.706896551724138,-1.835820895522388
1500,53,50,297,1.6037735849056605,-1.7
2000,54,71,275,1.5185185185185186,-1.8873239436619718
2500,58,58,284,1.603448275862069,-1.6724137931034482
2999,40,51,309,1.925,-1.588235294117647
