Tick,epoch,Lambda_total_mean,Lambda_total_std,Lambda_total_min,Lambda_total_max,Drive_Raw_mean,Drive_Raw_std,Drive_Raw_min,Drive_Raw_max,p_act_mean,p_act_std,p_act_min,p_act_max,Psi_local_mean,Psi_local_std,Psi_local_min,Psi_local_max,b_i_v_mean,b_i_v_std,b_i_v_min,b_i_v_max,b_i_u_mean,b_i_u_std,b_i_u_min,b_i_u_max,b_i_r_mean,b_i_r_std,b_i_r_min,b_i_r_max,Local_Density_mean,Local_Density_std,Local_Density_min,Local_Density_max
0,0,0.6748571252585412,0.05844286338728773,0.6000442850294928,0.8867050413959578,-0.9256496239658347,0.33316314600452357,-2.5577988268437863,0.09753436028575635,0.29566371712543715,0.06478772263061917,0.08118525418565922,0.5291206356654341,0.49,1.8107042828689615,-6.0,7.0,0.750964717351705,0.08688981595266868,0.6000442850294928,0.8997274220415777,0.7491800747562103,0.08754806297243366,0.6002637759408663,0.8998563514740195,0.7516347235244613,0.08800941354658616,0.6002334700939636,0.8997574269010264,0.495625,0.1798447681335212,0.0,1.0
1,0,0.6753471252585413,0.05845475185769765,0.5971050731477736,0.8837050413959578,-0.8734552489658347,0.282339022708685,-1.835438369018446,0.08368075949432274,0.30479929479908896,0.05856032683581615,0.14621576555302415,0.5256989107599901,-0.04125,1.0744991565841269,-5.0,6.0,0.7514547173517049,0.08682985289943326,0.5971050731477736,0.9027676357284041,0.7496700747562103,0.08753944925446609,0.6002637759408663,0.9018255107998676,0.7521247235244612,0.08803409017123165,0.6002334700939636,0.9007913649879445,0.291875,0.16560848974312883,0.0,0.875
2,0,0.6753058752585414,0.05848315118390826,0.5951050731477736,0.8827050413959578,-0.8676046239658348,0.28118095431910506,-1.753368301075973,0.08368075949432274,0.30596060033574796,0.058485677556382724,0.1561466316704414,0.5256989107599901,-0.065,1.0097153064106734,-5.0,5.0,0.7514134673517049,0.08683295651016176,0.5951050731477736,0.9047918528978457,0.7496288247562103,0.08755518454158617,0.5994106457876179,0.9028255107998676,0.7520834735244613,0.08810633169983519,0.5993989792898349,0.9017913649879445,0.301875,0.1657852997855962,0.0,0.875
3,0,0.6752408752585413,0.058458154017094074,0.5951050731477736,0.8822951898735808,-0.8614583739658347,0.2699487212422729,-1.6032937347501748,0.07885730529173962,0.30697053385561207,0.05646400665215435,0.1758465555642893,0.5245070754194796,-0.08625,1.1821848152890477,-6.0,4.0,0.751348467351705,0.0868414798780064,0.5951050731477736,0.9087918528978457,0.7495638247562103,0.08752301064821401,0.5994106457876179,0.9028255107998676,0.7520184735244613,0.08812831157523021,0.5973989792898349,0.9018394510803284,0.284375,0.15171545117422944,0.0,0.875
4,0,0.6751546252585413,0.0584212560154382,0.5951050731477736,0.8822951898735808,-0.8621939989658347,0.27743493641518546,-2.053309843455388,0.0855343602857559,0.30700194138850906,0.05744997536610105,0.12258118332943051,0.5261568568893223,-0.07125,1.1090191330630865,-5.0,4.0,0.7512622173517048,0.08682144738765674,0.5951050731477736,0.9087918528978457,0.7494775747562104,0.08748713626890992,0.6004106457876179,0.9021234380877473,0.7519322235244613,0.0881223187427788,0.5973989792898349,0.9018030597134278,0.30625,0.1630998543837486,0.0,0.875
5,0,0.6750833752585413,0.05842780813081047,0.5951050731477736,0.8822951898735808,-0.8574789989658348,0.27318198248182307,-1.607311521308275,0.0855343602857559,0.30786329106933835,0.05704291963365808,0.17529258605368542,0.5261568568893223,-0.07125,1.1973610305584528,-5.0,5.0,0.7511909673517049,0.08683268494833482,0.5951050731477736,0.9087918528978457,0.7494063247562103,0.08752099210309752,0.6004106457876179,0.9041234380877473,0.7518609735244612,0.08809728610792378,0.5973989792898349,0.9023986625394547,0.31,0.16078906990215475,0.0,0.875
6,0,0.6750121252585413,0.05839569008761717,0.5943989792898349,0.8822951898735808,-0.8706546239658347,0.2788261790001923,-1.9996600577053796,0.09168075949432364,0.3052942591064376,0.05774385589790726,0.12804623221894848,0.527675107492799,-0.02,1.1328503872974578,-5.0,5.0,0.751119717351705,0.08680915732000782,0.5944379358804341,0.9087918528978457,0.7493350747562103,0.0875042196632263,0.5975771534406876,0.9071234380877473,0.7517897235244613,0.08810608702213436,0.5943989792898349,0.9017913649879445,0.299375,0.1660772128408952,0.0,0.875
7,0,0.6749921252585414,0.05839455318333163,0.5903989792898349,0.8822951898735808,-0.8542502489658347,0.27539330821400887,-1.5877401543290994,0.09168075949432364,0.3085714453046356,0.05752022955310921,0.17800505818560716,0.527675107492799,-0.0775,1.1125393251476552,-6.0,5.0,0.7510997173517049,0.0868159338470294,0.5931050731477736,0.9087918528978457,0.7493150747562102,0.08748083210937264,0.5935771534406876,0.9071234380877473,0.7517697235244613,0.08807728335212146,0.5903989792898349,0.9028030597134278,0.304375,0.1555371237840021,0.0,0.75
8,0,0.6749146252585413,0.058449125346650636,0.5903989792898349,0.8822951898735808,-0.8567477489658347,0.2789080804889235,-1.5990159754703406,0.0855343602857559,0.3081342553372307,0.05819180620863056,0.17643799889458536,0.5261568568893223,-0.06,1.2026637102698325,-5.0,6.0,0.7510222173517049,0.08683113809072796,0.5931050731477736,0.9077918528978457,0.7492375747562103,0.08752474525364459,0.5935771534406876,0.9081234380877473,0.7516922235244613,0.08806797673641835,0.5903989792898349,0.9028394510803284,0.300625,0.1555471692927904,0.0,0.75
9,0,0.6748546252585413,0.05847561337189549,0.5921050731477736,0.8822951898735808,-0.8615971239658348,0.27454413356867213,-1.6198228598820288,0.09168075949432364,0.30704823781664736,0.05726558956553098,0.17357700841230286,0.527675107492799,-0.0325,1.1136398654861455,-5.0,5.0,0.7509622173517049,0.0868238927340178,0.5921050731477736,0.9097918528978457,0.7491775747562103,0.08759266538508045,0.5935771534406876,0.9081234380877473,0.7516322235244612,0.08805725650139075,0.5923989792898349,0.9038030597134278,0.305625,0.1614497309536315,0.0,0.75
