run_id,f_variant,scale,epoch,mean_Delta_v,mean_Delta_u,mean_Delta_r,pos_Psi_share,neg_Psi_share,zero_Psi_share
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,0,-2.0625e-05,-2.0625e-05,-2.0625e-05,0.158175,0.17,0.671825
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,1,-3.100625e-05,-3.100625e-05,-3.100625e-05,0.1534796875,0.16889062500000002,0.6776296875
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,2,-3.2947499999999996e-05,-3.2947499999999996e-05,-3.2947499999999996e-05,0.14829750000000003,0.16469999999999999,0.6870025000000001
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,3,-3.667e-05,-3.667e-05,-3.667e-05,0.14153,0.15911125,0.69935875
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,4,-4.0837499999999997e-05,-4.0837499999999997e-05,-4.0837499999999997e-05,0.13378375,0.153965,0.71225125
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,5,-4.097e-05,-4.097e-05,-4.097e-05,0.1264725,0.14735499999999999,0.7261725
flight6_probe2_starvation_FLR_40x40,F_LR,40x40,6,-4.14825e-05,-4.14825e-05,-4.14825e-05,0.118585,0.13993,0.7414850000000001
