Tick,pos_count,neg_count,zero_count,pos_mean,neg_mean
0,666,84,850,3.460960960960961,-2.9166666666666665
100,52,79,1469,1.2884615384615385,-1.3291139240506329
500,56,88,1456,1.3571428571428572,-1.2954545454545454
1000,49,67,1484,1.2040816326530612,-1.1492537313432836
1500,69,68,1463,1.391304347826087,-1.2647058823529411
2000,48,44,1508,1.1666666666666667,-1.3181818181818181
2500,71,50,1479,1.1549295774647887,-1.24
2999,44,70,1486,1.0909090909090908,-1.2285714285714286
