run_id,Tick,Metric,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max
flight6_probe3_fusion_residual_40x40,0,Lambda_total,0.32170334010320795,0.08722297444455568,0.13914428705063034,0.16958486747657453,0.19545118547259602,0.2566669833339352,0.3120762737979302,0.3777506838683203,0.4830424687288259,0.5617249207181194,0.6355863542196639
flight6_probe3_fusion_residual_40x40,0,Drive_Raw,-2.3382647645871684,0.422573234326639,-4.00290414816264,-3.3916853837239107,-3.029863348622965,-2.6020442836142506,-2.3553214024050177,-2.0714194363732945,-1.6202557414825163,-1.3195480591016882,-0.904743824155255
flight6_probe3_fusion_residual_40x40,0,p_act,0.10296748936199566,0.036441154435161105,0.027755636720930947,0.042230940613575796,0.05563391361731623,0.07831690030241453,0.09577729720363472,0.12078683458009967,0.1735179299861632,0.21878476338728486,0.29519585028475753
flight6_probe3_fusion_residual_40x40,0,Psi_local,1.2875,2.177511704506899,-7.0,-4.0,-1.0,-0.0,0.0,3.0,5.0,6.0,7.0
flight6_probe3_fusion_residual_40x40,0,b_i_v,0.750964717351705,0.08691698175478738,0.6000442850294928,0.6021955663633578,0.61624597679403,0.6764995426040508,0.7499053002251628,0.8259853996576952,0.8864021069408957,0.8967930495875701,0.8997274220415777
flight6_probe3_fusion_residual_40x40,0,b_i_u,0.7491800747562104,0.08757543457321894,0.6002637759408663,0.6042441997638301,0.6136501166256735,0.6744361756926449,0.7490673794822118,0.8247948665664232,0.8861497001517449,0.8969220454268072,0.8998563514740195
flight6_probe3_fusion_residual_40x40,0,b_i_r,0.7516347235244613,0.08803692938704155,0.6002334700939636,0.603410766410184,0.6167504072691448,0.6745726098988868,0.74918922860719,0.8283020014397455,0.8882977170065885,0.8964215958870418,0.8997574269010264
flight6_probe3_fusion_residual_40x40,0,Local_Density,0.495625,0.17990099598173995,0.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0
flight6_probe3_fusion_residual_40x40,100,Lambda_total,0.32046059669543625,0.08667401538818556,0.13464286611424156,0.16778950215053665,0.19598837883561845,0.2570168056965536,0.3095690139837166,0.37407161002429246,0.4790490603855808,0.5462106451479621,0.6388868537296797
flight6_probe3_fusion_residual_40x40,100,Drive_Raw,-2.542688863218255,0.3941426753757915,-3.4614285355430336,-3.2887527029235946,-3.129517787291946,-2.833697289713011,-2.583839737917117,-2.293358760854553,-1.8387441313781954,-1.545621747940825,-0.9444525850812813
flight6_probe3_fusion_residual_40x40,100,p_act,0.08683012947855588,0.03045640767114092,0.04012555906089321,0.045599469310536406,0.051486909784414614,0.06497486720750095,0.07948387945781757,0.10075774081080459,0.145827913709102,0.18396247675288382,0.2872018010016054
flight6_probe3_fusion_residual_40x40,100,Psi_local,-0.02375,0.4087056859294588,-3.0,-2.0,-0.0,0.0,0.0,0.0,0.0,1.0,4.0
flight6_probe3_fusion_residual_40x40,100,b_i_v,0.7502672173517049,0.0866189000312449,0.5871973336628332,0.5994374553100854,0.6161139243584585,0.6771291843183277,0.7510404419846944,0.8250472107410928,0.8850228155640855,0.8956606480157215,0.9087274220415777
flight6_probe3_fusion_residual_40x40,100,b_i_u,0.7484825747562103,0.08767436638109483,0.5895120642419011,0.6022634977267973,0.6133778365911283,0.6736882259105736,0.7474521760588395,0.824919870751377,0.884630404581549,0.8995945542731868,0.9142044190463274
flight6_probe3_fusion_residual_40x40,100,b_i_r,0.7509372235244612,0.08794400078291643,0.5907567082695581,0.6027569785949874,0.6172050234650114,0.6728475130163192,0.7506829022501635,0.8267085835875443,0.8870737027683027,0.8971868764603843,0.9122789796151022
flight6_probe3_fusion_residual_40x40,100,Local_Density,0.078125,0.09288939471102776,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.5
flight6_probe3_fusion_residual_40x40,500,Lambda_total,0.30649729738028364,0.08201103371361346,0.1319949788082094,0.15977520831080075,0.18721701967277687,0.24597161449169924,0.2963430098128191,0.35713922331242,0.4505325773454142,0.5267910670748707,0.6428462246189229
flight6_probe3_fusion_residual_40x40,500,Drive_Raw,-2.5940108104788657,0.381182371792736,-3.4720200847671623,-3.3279674187795893,-3.1690628514970234,-2.8676978658671963,-2.6205982577764035,-2.34709036944634,-1.9138793418511406,-1.591561652051122,-1.1161151015243083
flight6_probe3_fusion_residual_40x40,500,p_act,0.083010146972125,0.027977171563976073,0.03981772604448893,0.04427786464194048,0.04994321824393701,0.06323593239075208,0.07714621548338113,0.09642435050195582,0.1372602051475825,0.17747266355268596,0.25426527712976993
flight6_probe3_fusion_residual_40x40,500,Psi_local,-0.02375,0.43249606417683767,-3.0,-2.0,-1.0,0.0,0.0,0.0,0.0,1.009999999999991,4.0
flight6_probe3_fusion_residual_40x40,500,b_i_v,0.7421084673517049,0.08619124013363297,0.5721973336628332,0.5882290764592855,0.6079232895697311,0.6698487779033943,0.7420751864337505,0.8154839466037074,0.8755480444486028,0.8957919284274318,0.9120920680354191
flight6_probe3_fusion_residual_40x40,500,b_i_u,0.7403238247562102,0.08694425593726876,0.5745048207459806,0.5914395535732505,0.6068032227352492,0.6659743189276334,0.7381863727512405,0.8151512589136214,0.8773279845202784,0.893716480696225,0.9174388690670259
flight6_probe3_fusion_residual_40x40,500,b_i_r,0.7427784735244611,0.08746114107620624,0.5755377873687718,0.5901679655588975,0.6084121202551191,0.6662746290808077,0.7418379918711187,0.8188051002945288,0.8767497303384499,0.8946040854510507,0.9088394510803284
flight6_probe3_fusion_residual_40x40,500,Local_Density,0.080625,0.09473103031776688,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.5
flight6_probe3_fusion_residual_40x40,1000,Lambda_total,0.2909680464220464,0.07684401450688741,0.1311753177086787,0.156867140594757,0.1764310352631711,0.23420598996315134,0.28342222906570014,0.33787476338351163,0.4276196766556638,0.50027102313267,0.6025292664611421
flight6_probe3_fusion_residual_40x40,1000,Drive_Raw,-2.683627814311815,0.35887332062543764,-3.475298729165285,-3.3332002467438757,-3.229495321079792,-2.9440246081867745,-2.713572536120326,-2.455503689376391,-2.0189412651908083,-1.8051567215819242,-1.2913516921031412
flight6_probe3_fusion_residual_40x40,1000,p_act,0.07678162263359438,0.024110733605402456,0.03972305473386598,0.04410512957955493,0.04769002253009566,0.05951949267170446,0.07155543510382228,0.08824663543392522,0.12605622582540035,0.14981225467465023,0.22346786967638882
flight6_probe3_fusion_residual_40x40,1000,Psi_local,-0.01125,0.3334560437046793,-2.0,-1.0,-0.0,0.0,0.0,0.0,0.0,1.0,3.0
flight6_probe3_fusion_residual_40x40,1000,b_i_v,0.7327047173517051,0.08555772253573775,0.5461973336628332,0.5772371905052943,0.6008821608173082,0.6590772061896198,0.7343423444642956,0.805746174732313,0.8648526233277164,0.8863989087106277,0.9203540800871081
flight6_probe3_fusion_residual_40x40,1000,b_i_u,0.7309200747562101,0.08615381272509809,0.5529445324434985,0.5806128896436809,0.5970424734375144,0.6574662027815026,0.7296393658823219,0.8022533625034187,0.8654461688681299,0.8882376935125507,0.9316960037600658
flight6_probe3_fusion_residual_40x40,1000,b_i_r,0.7333747235244613,0.08692888525239416,0.5665377873687718,0.5823646530174423,0.5998119461880139,0.657784507130466,0.7305400631649709,0.8097362584688882,0.8666746604137658,0.8878062353685925,0.9132593257830193
flight6_probe3_fusion_residual_40x40,1000,Local_Density,0.06625,0.08472262804182804,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.5
flight6_probe3_fusion_residual_40x40,1500,Lambda_total,0.27665483764866716,0.07269944706999669,0.12321558835455838,0.1461952004218758,0.17066733997498826,0.22457416771975153,0.26974480790175936,0.3176906548085714,0.40892971534544137,0.47672852447643344,0.5716641991259527
flight6_probe3_fusion_residual_40x40,1500,Drive_Raw,-2.7195525244053314,0.34601018778728143,-3.4893245931749015,-3.393348945295119,-3.246768047479298,-2.9639826383076064,-2.749868538059843,-2.50260550884066,-2.118525968747038,-1.753208096293499,-1.3016825193188146
flight6_probe3_fusion_residual_40x40,1500,p_act,0.07437171035620399,0.022740641210023442,0.039321334322453674,0.04217895008450066,0.047068766590307495,0.05858900046813087,0.06949313439768011,0.0849189686756359,0.11623610013971233,0.1561665902192614,0.2217431680142517
flight6_probe3_fusion_residual_40x40,1500,Psi_local,0.00625,0.4258218702294759,-3.0,-1.0099999999999998,0.0,0.0,0.0,0.0,0.0,2.0,4.0
flight6_probe3_fusion_residual_40x40,1500,b_i_v,0.7236647173517049,0.08496179114314618,0.5421973336628332,0.569350591262499,0.5912659464315556,0.6533307310591687,0.7245176197941864,0.7948941323808698,0.8564795532835123,0.8804306787926299,0.9313540800871081
flight6_probe3_fusion_residual_40x40,1500,b_i_u,0.7218800747562102,0.08539187813100706,0.5409445324434985,0.5681081366459183,0.5887540491608693,0.6505628736270054,0.7189227363690223,0.794773571670893,0.8566663282572814,0.8837794823949013,0.9336960037600658
flight6_probe3_fusion_residual_40x40,1500,b_i_r,0.7243347235244613,0.08665588151440819,0.5475377873687718,0.5726424381688767,0.5919746810954555,0.6501424985012246,0.7223635146762116,0.800302755900486,0.8575323071529152,0.8843003075137762,0.9168394510803284
flight6_probe3_fusion_residual_40x40,1500,Local_Density,0.079375,0.09889358213689813,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.625
flight6_probe3_fusion_residual_40x40,2000,Lambda_total,0.2647140373592069,0.06981982371792665,0.11375132002113876,0.13998856445734967,0.16222022110339343,0.21522281326043538,0.2588964055271763,0.30384908051788295,0.39595055876932955,0.45486455920162094,0.5395903066010805
flight6_probe3_fusion_residual_40x40,2000,Drive_Raw,-2.788096975563172,0.331889679925346,-3.544994719915445,-3.4113432498793963,-3.2959578571743795,-3.025940846883127,-2.822887042036897,-2.5660943899446202,-2.190207123569747,-1.966822301814929,-1.4706827668734164
flight6_probe3_fusion_residual_40x40,2000,p_act,0.07013666607989961,0.020138482208762493,0.03777816557914811,0.04162341974329452,0.045353019580096424,0.05580493946093676,0.0655388676882188,0.08063914533716873,0.10962702527989165,0.13150339306527845,0.19497047035892998
flight6_probe3_fusion_residual_40x40,2000,Psi_local,-0.00125,0.3202538666229173,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
flight6_probe3_fusion_residual_40x40,2000,b_i_v,0.7157459673517049,0.0848527375412622,0.5321973336628332,0.5580915205318212,0.582154445701959,0.6435488405106199,0.7167192858524477,0.7876294148191066,0.8473304082965532,0.8764227780810918,0.9243540800871081
flight6_probe3_fusion_residual_40x40,2000,b_i_u,0.7139613247562102,0.08538543470835862,0.537717439415524,0.5580266537152225,0.5819968291950471,0.6437378694239968,0.7109498738019087,0.784936403055664,0.8504429668720652,0.8783242019250029,0.9286960037600658
flight6_probe3_fusion_residual_40x40,2000,b_i_r,0.7164159735244613,0.08630887574151155,0.5423676802053182,0.563010117556616,0.5837030128832863,0.6412752724513519,0.7154765405911441,0.7897357380956678,0.8505344876388391,0.8757080536159143,0.9150354959190349
flight6_probe3_fusion_residual_40x40,2000,Local_Density,0.068125,0.09053252570972553,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.5
flight6_probe3_fusion_residual_40x40,2500,Lambda_total,0.25421970617058653,0.06727142215922695,0.1007947454252093,0.13167593500073002,0.15678809863138943,0.205112308666222,0.24886702046103282,0.2927328576651411,0.3783589352352581,0.44181915683459616,0.5578625186620059
