epoch,mean_Lambda_mean,Lambda_total_mean_std,Lambda_total_mean_min,Lambda_total_mean_max,Drive_Raw_mean_mean,Drive_Raw_mean_std,Drive_Raw_mean_min,Drive_Raw_mean_max,mean_p_act_mean,p_act_mean_std,p_act_mean_min,p_act_mean_max,psi_global_mean,Psi_local_mean_std,Psi_local_mean_min,Psi_local_mean_max,mean_v_mean,b_i_v_mean_std,b_i_v_mean_min,b_i_v_mean_max,mean_u_mean,b_i_u_mean_std,b_i_u_mean_min,b_i_u_mean_max,mean_r_mean,b_i_r_mean_std,b_i_r_mean_min,b_i_r_mean_max,rho_mean,rho_std,Local_Density_mean_min,Local_Density_mean_max,run_id,f_variant,scale
0,0.3221798162143161,0.0009799671263398021,0.320519729665264,0.3238793365332232,-2.515697922642736,0.02275669287158722,-2.550670479954249,-2.3382647645871684,0.08890050648699675,0.001758983463488997,0.08635862285086666,0.10296748936199568,-0.0069749999999999986,0.13146959503699673,-0.05625,1.2875,0.751258754851705,0.000567664169257865,0.750303467351705,0.7522522173517049,0.7494741122562103,0.0005676641692578338,0.7485188247562102,0.7504675747562102,0.7519287610244612,0.000567664169257811,0.7509734735244612,0.7529222235244614,0.09283125,0.04129841578255744,0.071875,0.495625,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
1,0.3135230674421904,0.003957546495090188,0.30653397822957407,0.32046059669543614,-2.558962613043738,0.022666686551957426,-2.6248655720274545,-2.498507488945619,0.08561846747198386,0.0016749032916163098,0.08097549457324496,0.09005066459570069,-0.020396875,0.016005691625024,-0.065,0.035,0.7462333829767048,0.002310768080008648,0.7421309673517049,0.750267217351705,0.7444487403812103,0.002310768080008627,0.7403463247562102,0.7484825747562103,0.7469033891494612,0.002310768080008602,0.7428009735244612,0.7509372235244612,0.0851234375,0.007148961427706189,0.064375,0.101875,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
2,0.2985670288612608,0.004525202420471805,0.29099296142388204,0.30649729738028364,-2.6280064158049568,0.02430913775626326,-2.682252223267434,-2.565626478673966,0.08057602828764993,0.001695747976102899,0.07690792923275441,0.08505383191674774,-0.0188075,0.014858629698024173,-0.07,0.02875,0.737336802351705,0.002742155190575572,0.7327184673517049,0.7421084673517049,0.7355521597562102,0.002742155190575638,0.7309338247562103,0.7403238247562102,0.7380068085244612,0.002742155190575601,0.7333884735244612,0.7427784735244614,0.08008375,0.006809157174743482,0.060625,0.0975,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
3,0.283639250062376,0.0041173998437061795,0.2766707011511597,0.2909751324549694,-2.695939249750496,0.023456490435496222,-2.7576904434504286,-2.629843682370849,0.07592336691505833,0.0015175216132242496,0.07201262360150404,0.08025477194647564,-0.018080000000000002,0.014692739812792328,-0.06375,0.02875,0.7281284073517049,0.0026112726983909215,0.7236759673517049,0.7327084673517049,0.7263437647562102,0.0026112726983909236,0.7218913247562102,0.7309238247562102,0.7287984135244613,0.0026112726983908655,0.7243459735244612,0.7333784735244612,0.07594625,0.0069064627808877385,0.056875,0.095625,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
4,0.2701927944290591,0.0035914617954127866,0.2647380684279923,0.27666628688814043,-2.757289603533764,0.01975732601833359,-2.8038409106744653,-2.7074700219301513,0.07204143698956653,0.001201177972771356,0.06917313483268302,0.07513478355017025,-0.0158375,0.013626190402300984,-0.0575,0.035,0.7194111098517049,0.0023787369401491957,0.7157659673517048,0.7236709673517049,0.7176264672562102,0.00237873694014922,0.7139813247562102,0.7218863247562102,0.7200811160244612,0.0023787369401492907,0.7164359735244612,0.7243409735244611,0.07214,0.006291328287670771,0.05625,0.093125,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
5,0.2594472666968081,0.0029536911348866904,0.25426570039811286,0.2647140962923052,-2.8064954644627678,0.018886887210456147,-2.85562291768331,-2.744393684887927,0.06910199306722116,0.0011011024241416596,0.06632482718501757,0.0727268218905023,-0.0143,0.01308539089633243,-0.0475,0.02625,0.7121741898517049,0.0020170519507472628,0.7086297173517049,0.7157459673517049,0.7103895472562102,0.002017051950747328,0.7068450747562102,0.7139613247562102,0.7128441960244613,0.0020170519507473096,0.7092997235244611,0.7164159735244613,0.06896375,0.006677074309168673,0.049375,0.090625,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
6,0.2494084736643395,0.0028306407025769846,0.24464404567063372,0.25425169638675454,-2.8517215740926423,0.018845039902159973,-2.8982172090314005,-2.799898659362031,0.06652264554616996,0.0010636609517250208,0.06393930549479118,0.06947099912123114,-0.013422499999999999,0.012314845902780041,-0.0525,0.02875,0.7052296523517049,0.0019792139529416614,0.7019072173517048,0.7086147173517048,0.7034450097562102,0.001979213952941563,0.7001225747562103,0.7068300747562103,0.7058996585244612,0.001979213952941602,0.7025772235244613,0.7092847235244613,0.0664825,0.006280786400253646,0.0475,0.083125,flight6_probe3_fusion_residual_40x40,F_2_symmetric,40x40
