Tick,pos_count,neg_count,zero_count,pos_mean,neg_mean
0,486,224,890,2.6152263374485596,-2.174107142857143
100,242,260,1098,1.7933884297520661,-1.7923076923076924
500,238,267,1095,1.634453781512605,-1.8089887640449438
1000,261,222,1117,1.8160919540229885,-1.7657657657657657
1500,220,229,1151,1.7636363636363637,-1.7641921397379912
2000,213,218,1169,1.6948356807511737,-1.6743119266055047
2500,190,219,1191,1.5894736842105264,-1.6621004566210045
2999,174,224,1202,1.5747126436781609,-1.6785714285714286
