epoch,mean_Lambda_mean,Lambda_total_mean_std,Lambda_total_mean_min,Lambda_total_mean_max,Drive_Raw_mean_mean,Drive_Raw_mean_std,Drive_Raw_mean_min,Drive_Raw_mean_max,mean_p_act_mean,p_act_mean_std,p_act_mean_min,p_act_mean_max,psi_global_mean,Psi_local_mean_std,Psi_local_mean_min,Psi_local_mean_max,mean_v_mean,b_i_v_mean_std,b_i_v_mean_min,b_i_v_mean_max,mean_u_mean,b_i_u_mean_std,b_i_u_mean_min,b_i_u_mean_max,mean_r_mean,b_i_r_mean_std,b_i_r_mean_min,b_i_r_mean_max,rho_mean,rho_std,Local_Density_mean_min,Local_Density_mean_max,run_id,f_variant,scale
0,0.6733670166910255,0.0008714106408866485,0.6718554166910257,0.6750454166910257,-0.8725569332358977,0.014845916272316975,-0.9146358332358976,-0.8424983332358977,0.30497904273288934,0.0028556640796336035,0.29729662993885403,0.3108872099631053,-0.029050000000000003,0.0794510680999458,-0.235,0.31,0.7478070602827586,0.0008714106408866982,0.7462954602827585,0.7494854602827585,0.7482925727816077,0.0008714106408867087,0.7467809727816076,0.7499709727816076,0.747759808543877,0.0008714106408867191,0.7462482085438771,0.749438208543877,0.3041,0.028379018426800587,0.2475,0.4975,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
1,0.6685126416910256,0.0020522146602887695,0.6648654166910256,0.6721404166910255,-0.8921595894858976,0.017342299097905505,-0.9415658332358977,-0.8456033332358976,0.30112380569150415,0.0033187610864765476,0.29161559358210776,0.31016802044160363,-0.0170875,0.0853267630052987,-0.24,0.3,0.7429526852827586,0.0020522146602887257,0.7393054602827586,0.7465804602827586,0.7434381977816077,0.0020522146602887444,0.7397909727816077,0.7470659727816077,0.742905433543877,0.002052214660288769,0.7392582085438769,0.7465332085438771,0.30071875,0.0223213941102491,0.245,0.365,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
2,0.6538793266910256,0.0062245832740650126,0.6437404166910256,0.6649504166910256,-0.9549870682358977,0.03126739349633034,-1.0457483332358977,-0.8648233332358977,0.28919765786865703,0.005875287659600264,0.27260446263838567,0.30659936832341095,-0.042570000000000004,0.0777859009897396,-0.29,0.175,0.7283193702827585,0.006224583274065064,0.7181804602827586,0.7393904602827586,0.7288048827816076,0.006224583274065014,0.7186659727816077,0.7398759727816077,0.728272118543877,0.006224583274065016,0.718133208543877,0.739343208543877,0.28858,0.022722041773677194,0.23,0.3625,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
3,0.6343687866910256,0.004436516138141434,0.6263554166910256,0.6436654166910256,-1.0433154782358978,0.02629664085347877,-1.1373258332358978,-0.9803033332358977,0.2729253529322098,0.004710146886999203,0.25599837197792663,0.2843840643800239,-0.03488,0.07500157379778301,-0.255,0.22,0.7088088302827585,0.0044365161381413965,0.7007954602827585,0.7181054602827586,0.70929263432222,0.004438711571460242,0.7012726064739009,0.7185909727816076,0.708761578543877,0.0044365161381414355,0.700748208543877,0.718058208543877,0.27153000000000005,0.02354342127582015,0.1925,0.34,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
4,0.6165921166910255,0.006606683429821775,0.6051154166910255,0.6262254166910255,-1.1224690332358978,0.03418537968274,-1.2111208332358978,-1.0483708332358979,0.25872649798837305,0.006031935320173639,0.2432264985842786,0.27151492102875496,-0.04237,0.07027025628127213,-0.24,0.225,0.6910321602827586,0.006606683429821829,0.6795554602827585,0.7006654602827586,0.6915093064739009,0.006606683429821736,0.680032606473901,0.7011426064739009,0.690984908543877,0.006606683429821775,0.6795082085438771,0.7006182085438769,0.25914,0.02212270843402577,0.195,0.325,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
5,0.5953243066910255,0.005598211201376328,0.5857854166910255,0.6050404166910256,-1.220817148235898,0.03325747216104099,-1.304658333235898,-1.1372008332358978,0.24148349587480147,0.005592688969056976,0.22802925885811626,0.255456073219947,-0.038759999999999996,0.06896647845367053,-0.24,0.19,0.6697643502827585,0.0055982112013763154,0.6602254602827585,0.6794804602827585,0.6702414964739009,0.005598211201376281,0.6607026064739009,0.6799576064739008,0.6697170985438768,0.00559821120137629,0.660178208543877,0.6794332085438769,0.242255,0.022313634207432185,0.175,0.3125,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
6,0.5730161866910255,0.00742812753083328,0.5606804166910255,0.5856854166910255,-1.327440253235898,0.04139623690141222,-1.436378333235898,-1.225935833235898,0.2239469065845801,0.006631821404898714,0.2075104875097467,0.24028237071365782,-0.049980000000000004,0.06471689232576458,-0.225,0.18,0.6474562302827584,0.007428127530833237,0.6351204602827585,0.6601254602827585,0.6479333764739009,0.007428127530833237,0.6355976064739008,0.6606026064739009,0.647408978543877,0.007428127530833204,0.6350732085438769,0.6600782085438769,0.22187,0.020868615148025346,0.1525,0.2875,flight6_probe2_starvation_FLR_20x20,F_LR,20x20
