run_id,f_variant,scale,epoch,mean_Delta_v,mean_Delta_u,mean_Delta_r,pos_Psi_share,neg_Psi_share,zero_Psi_share
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,0,-2.905e-05,-2.905e-05,-2.905e-05,0.15605,0.169975,0.673975
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,1,-1.70875e-05,-1.70875e-05,-1.70875e-05,0.158025,0.16546875,0.6765062500000001
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,2,-4.257e-05,-4.257e-05,-4.257e-05,0.1475,0.16773,0.68477
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,3,-3.488e-05,-3.488e-05,-3.488e-05,0.141445,0.15981499999999998,0.69874
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,4,-4.237e-05,-4.237e-05,-4.237e-05,0.13419499999999998,0.154975,0.7108300000000001
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,5,-3.876e-05,-3.876e-05,-3.876e-05,0.128015,0.14637,0.725615
flight6_probe2_starvation_FLR_20x20,F_LR,20x20,6,-4.9980000000000006e-05,-4.9980000000000006e-05,-4.9980000000000006e-05,0.115335,0.14017500000000002,0.74449
