column,compressed_bytes
Tick,27587
Agent_X,13580
Agent_Y,43995
b_i_v,2276251
b_i_u,2263459
b_i_r,2276251
limiting_base_argmin,40740
Lambda_multiplicative,2263465
Lambda_additive,2263465
Lambda_total,2276251
Local_Density,566996
Drive_Raw,4828842
Term_Density_Pos,567003
Term_Overcrowding,567028
Term_Offset,5045
p_base,4913524
p_act,4912897
PRNG_draw,11230296
is_active,153164
Psi_local,610613
gamma_coef,5045
Delta_v,610709
Delta_u,610709
Delta_r,610709
Term_Lambda,2276251

cardinality_1e-6_precision
Lambda_total,52954
Drive_Raw,173169
p_act,133115
Psi_local,17
Local_Density,9
