run_id,Tick,rho,Moran_I_Act_Instant,Moran_I_Psi_Instant_RefOnly
flight6_probe1_overcrowding_20x20,790,0.0825,[0.01742218],[0.1712963]
flight6_probe1_overcrowding_20x20,800,0.0625,[-0.024],[0.13550305]
flight6_probe1_overcrowding_20x20,810,0.0875,[-0.00978474],[0.10646961]
flight6_probe1_overcrowding_20x20,820,0.0675,[0.02690895],[0.05985915]
flight6_probe1_overcrowding_20x20,830,0.0925,[0.00230809],[0.07294691]
flight6_probe1_overcrowding_20x20,840,0.0625,[-0.00266667],[0.07718121]
flight6_probe1_overcrowding_20x20,850,0.0775,[-0.00533263],[0.04845741]
flight6_probe1_overcrowding_20x20,860,0.105,[0.00904496],[0.06030782]
flight6_probe1_overcrowding_20x20,870,0.0775,[0.0471195],[0.15481172]
flight6_probe1_overcrowding_20x20,880,0.0725,[0.02407287],[0.13567557]
flight6_probe1_overcrowding_20x20,890,0.0675,[0.04676795],[0.10196078]
flight6_probe1_overcrowding_20x20,900,0.095,[0.00407095],[0.11058405]
flight6_probe1_overcrowding_20x20,910,0.055,[-0.02212602],[0.14265301]
flight6_probe1_overcrowding_20x20,920,0.0825,[-0.01560565],[0.05162194]
flight6_probe1_overcrowding_20x20,930,0.0625,[-0.03466667],[0.09977494]
flight6_probe1_overcrowding_20x20,940,0.0625,[-0.01333333],[0.12212468]
flight6_probe1_overcrowding_20x20,950,0.0575,[-0.02640987],[0.14864865]
flight6_probe1_overcrowding_20x20,960,0.0475,[-0.00842658],[0.15319477]
flight6_probe1_overcrowding_20x20,970,0.065,[0.01275195],[0.08893347]
flight6_probe1_overcrowding_20x20,980,0.065,[0.09502262],[0.07890007]
flight6_probe1_overcrowding_20x20,990,0.0875,[0.01369863],[0.01403743]
flight6_probe1_overcrowding_20x20,1000,0.0975,[-0.01569714],[0.03806084]
flight6_probe1_overcrowding_20x20,1010,0.0775,[-0.01407466],[-0.01274465]
flight6_probe1_overcrowding_20x20,1020,0.065,[-0.00781571],[0.00775888]
flight6_probe1_overcrowding_20x20,1030,0.1025,[-0.00550309],[0.0951087]
flight6_probe1_overcrowding_20x20,1040,0.0925,[-0.0572556],[0.0617284]
flight6_probe1_overcrowding_20x20,1050,0.0525,[0.03254178],[0.13336543]
flight6_probe1_overcrowding_20x20,1060,0.085,[0.00353584],[0.04022701]
flight6_probe1_overcrowding_20x20,1070,0.09,[-0.03021978],[0.04143844]
flight6_probe1_overcrowding_20x20,1080,0.095,[-0.01773771],[0.05386976]
flight6_probe1_overcrowding_20x20,1090,0.065,[0.06417112],[0.19619891]
flight6_probe1_overcrowding_20x20,1100,0.0825,[-0.03211956],[0.08741595]
flight6_probe1_overcrowding_20x20,1110,0.0775,[-0.02281668],[0.10116032]
flight6_probe1_overcrowding_20x20,1120,0.0725,[-0.0316944],[0.08251076]
flight6_probe1_overcrowding_20x20,1130,0.0675,[0.00704995],[0.0943756]
flight6_probe1_overcrowding_20x20,1140,0.06,[-0.00842199],[0.11235206]
flight6_probe1_overcrowding_20x20,1150,0.05,[0.02631579],[0.15519399]
flight6_probe1_overcrowding_20x20,1160,0.0825,[-0.01560565],[0.05873494]
flight6_probe1_overcrowding_20x20,1170,0.0825,[-0.03211956],[0.04480722]
flight6_probe1_overcrowding_20x20,1180,0.0575,[-0.00334448],[0.03846154]
flight6_probe1_overcrowding_20x20,1190,0.0775,[-0.01407466],[0.03630363]
flight6_probe1_overcrowding_20x20,1200,0.07,[-0.01766513],[0.05632557]
flight6_probe1_overcrowding_20x20,1210,0.0625,[-0.01333333],[0.10267634]
flight6_probe1_overcrowding_20x20,1220,0.0825,[0.03393609],[0.08981796]
flight6_probe1_overcrowding_20x20,1230,0.0675,[-0.05252706],[0.08245556]
flight6_probe1_overcrowding_20x20,1240,0.0675,[-0.00287956],[0.18149857]
flight6_probe1_overcrowding_20x20,1250,0.0775,[0.03837748],[0.08440328]
flight6_probe1_overcrowding_20x20,1260,0.07,[0.02073733],[0.05650542]
flight6_probe1_overcrowding_20x20,1270,0.065,[-0.01809955],[0.08461538]
flight6_probe1_overcrowding_20x20,1280,0.0675,[-0.00287956],[0.07222222]
flight6_probe1_overcrowding_20x20,1290,0.08,[-0.01902174],[0.13119534]
flight6_probe1_overcrowding_20x20,1300,0.0575,[-0.01487718],[0.11037632]
flight6_probe1_overcrowding_20x20,1310,0.1125,[0.00469484],[0.12860577]
flight6_probe1_overcrowding_20x20,1320,0.0825,[0.03393609],[0.04629233]
flight6_probe1_overcrowding_20x20,1330,0.08,[-0.02751359],[0.02542373]
flight6_probe1_overcrowding_20x20,1340,0.07,[0.0015361],[0.19402985]
flight6_probe1_overcrowding_20x20,1350,0.1025,[-0.01909097],[0.1387936]
flight6_probe1_overcrowding_20x20,1360,0.075,[0.03603604],[0.05667525]
flight6_probe1_overcrowding_20x20,1370,0.0575,[0.0312536],[0.05747126]
flight6_probe1_overcrowding_20x20,1380,0.055,[0.001924],[0.06400966]
flight6_probe1_overcrowding_20x20,1390,0.0775,[-0.00533263],[0.09090909]
flight6_probe1_overcrowding_20x20,1400,0.06,[-0.00842199],[0.1174921]
flight6_probe1_overcrowding_20x20,1410,0.065,[-0.02838338],[0.13054435]
flight6_probe1_overcrowding_20x20,1420,0.06,[-0.00842199],[0.17312956]
flight6_probe1_overcrowding_20x20,1430,0.05,[0.05263158],[0.16209447]
flight6_probe1_overcrowding_20x20,1440,0.085,[-0.00450016],[0.19047619]
flight6_probe1_overcrowding_20x20,1450,0.0675,[-0.01280906],[0.06038851]
flight6_probe1_overcrowding_20x20,1460,0.07,[0.01113671],[0.11314268]
flight6_probe1_overcrowding_20x20,1470,0.08,[-0.01902174],[0.12832495]
flight6_probe1_overcrowding_20x20,1480,0.0475,[-0.00842658],[0.08376963]
flight6_probe1_overcrowding_20x20,1490,0.055,[0.001924],[0.04545455]
flight6_probe1_overcrowding_20x20,1500,0.05,[9.86053344e-18],[0.17793357]
flight6_probe1_overcrowding_20x20,1510,0.065,[-0.02838338],[0.05511811]
flight6_probe1_overcrowding_20x20,1520,0.0625,[-0.01333333],[0.07094595]
flight6_probe1_overcrowding_20x20,1530,0.0825,[0.02567913],[0.13897739]
flight6_probe1_overcrowding_20x20,1540,0.0475,[-0.0360547],[0.09517426]
flight6_probe1_overcrowding_20x20,1550,0.0525,[0.01997738],[0.09045226]
flight6_probe1_overcrowding_20x20,1560,0.07,[-0.04646697],[0.07381222]
flight6_probe1_overcrowding_20x20,1570,0.0725,[0.01477833],[0.12420382]
flight6_probe1_overcrowding_20x20,1580,0.075,[-0.01801802],[0.065911]
flight6_probe1_overcrowding_20x20,1590,0.09,[0.00793651],[0.08604932]
flight6_probe1_overcrowding_20x20,1600,0.065,[0.00246812],[0.0718985]
flight6_probe1_overcrowding_20x20,1610,0.0675,[-0.02273856],[0.11707453]
flight6_probe1_overcrowding_20x20,1620,0.0725,[-0.04098894],[0.07623318]
flight6_probe1_overcrowding_20x20,1630,0.065,[-0.00781571],[0.11399882]
flight6_probe1_overcrowding_20x20,1640,0.075,[-0.01801802],[0.08856089]
flight6_probe1_overcrowding_20x20,1650,0.065,[0.02303579],[0.04903758]
flight6_probe1_overcrowding_20x20,1660,0.075,[-0.00900901],[0.14236707]
flight6_probe1_overcrowding_20x20,1670,0.0725,[-0.05028348],[0.10888332]
flight6_probe1_overcrowding_20x20,1680,0.07,[-0.01766513],[0.14175619]
flight6_probe1_overcrowding_20x20,1690,0.0725,[0.04266196],[0.12409269]
flight6_probe1_overcrowding_20x20,1700,0.06,[-0.03058511],[0.10821471]
flight6_probe1_overcrowding_20x20,1710,0.08,[0.0234375],[0.08738491]
flight6_probe1_overcrowding_20x20,1720,0.0625,[-0.00266667],[0.09885932]
flight6_probe1_overcrowding_20x20,1730,0.0625,[-0.00266667],[0.1350513]
flight6_probe1_overcrowding_20x20,1740,0.0625,[0.01866667],[0.17840376]
flight6_probe1_overcrowding_20x20,1750,0.06,[0.04698582],[0.16707496]
flight6_probe1_overcrowding_20x20,1760,0.06,[0.01374113],[0.09868421]
flight6_probe1_overcrowding_20x20,1770,0.06,[0.06914894],[0.28070175]
flight6_probe1_overcrowding_20x20,1780,0.0775,[-0.00533263],[0.09271523]
flight6_probe1_overcrowding_20x20,1790,0.0825,[-0.03211956],[0.1257485]
flight6_probe1_overcrowding_20x20,1800,0.0675,[-0.00287956],[0.08577575]
flight6_probe1_overcrowding_20x20,1810,0.0675,[0.00704995],[0.07957245]
flight6_probe1_overcrowding_20x20,1820,0.0825,[-0.01560565],[0.09399773]
flight6_probe1_overcrowding_20x20,1830,0.0725,[0.01477833],[0.10149329]
flight6_probe1_overcrowding_20x20,1840,0.055,[-0.03415103],[0.10534274]
flight6_probe1_overcrowding_20x20,1850,0.085,[0.00353584],[0.12608762]
